sentence,sentiment,lem_words,lem_tag,word_tags
A little noise but I think that was because of our party!,1,little noise think be party,JJ NN VB VB NN,"['little/JJ', 'noise/NN', 'think/VB', 'be/VB', 'party/NN']"
"Inside is a little cramped, but to be expected.",1,inside be little cramped be expect,NN VB JJ JJ VB VB,"['inside/NN', 'be/VB', 'little/JJ', 'cramped/JJ', 'be/VB', 'expect/VB']"
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",1,exception lemon salad have so much pepper eye start food here be decent not great,NN NN NN VB RB JJ NN NN VB NN RB VB JJ RB JJ,"['exception/NN', 'lemon/NN', 'salad/NN', 'have/VB', 'so/RB', 'much/JJ', 'pepper/NN', 'eye/NN', 'start/VB', 'food/NN', 'here/RB', 'be/VB', 'decent/JJ', 'not/RB', 'great/JJ']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
sometimes i get good food and ok service.,1,sometimes get good food service,RB VB JJ NN NN,"['sometimes/RB', 'get/VB', 'good/JJ', 'food/NN', 'service/NN']"
"those rolls were big, but not good and sashimi wasn't fresh.",1,roll be big not good sashimi wasn fresh,NN VB JJ RB JJ NN VB JJ,"['roll/NN', 'be/VB', 'big/JJ', 'not/RB', 'good/JJ', 'sashimi/NN', 'wasn/VB', 'fresh/JJ']"
Prices are in line.,1,price be line,NN VB NN,"['price/NN', 'be/VB', 'line/NN']"
Food was good not great not worth the wait or another visit,1,food be good not great not wait visit,NN VB JJ RB JJ RB NN NN,"['food/NN', 'be/VB', 'good/JJ', 'not/RB', 'great/JJ', 'not/RB', 'wait/NN', 'visit/NN']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
I'm sure I'll return for a final judgement tho.,1,sure ll return final judgement tho,JJ NN NN JJ NN NN,"['sure/JJ', 'll/NN', 'return/NN', 'final/JJ', 'judgement/NN', 'tho/NN']"
"The service is ok, some of the people didn't get what they asked for.",1,service be person didn get ask,NN VB NN VB VB VB,"['service/NN', 'be/VB', 'person/NN', 'didn/VB', 'get/VB', 'ask/VB']"
"Service is not exactly five star, but thats not really a big deal.",1,service be not exactly star that not really big deal,NN VB RB RB NN VB RB RB JJ NN,"['service/NN', 'be/VB', 'not/RB', 'exactly/RB', 'star/NN', 'that/VB', 'not/RB', 'really/RB', 'big/JJ', 'deal/NN']"
The food is reliable and the price is moderate.,1,food be reliable price be moderate,NN VB JJ NN VB JJ,"['food/NN', 'be/VB', 'reliable/JJ', 'price/NN', 'be/VB', 'moderate/JJ']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
"Bagels are ok, but be sure not to make any special requests!",1,bagel be be sure not make special request,NN VB VB JJ RB VB JJ NN,"['bagel/NN', 'be/VB', 'be/VB', 'sure/JJ', 'not/RB', 'make/VB', 'special/JJ', 'request/NN']"
I had a huge pastrami sandwich on a roll.,1,have huge pastrami sandwich roll,VB JJ NN NN NN,"['have/VB', 'huge/JJ', 'pastrami/NN', 'sandwich/NN', 'roll/NN']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
Food was good not great not worth the wait or another visit,1,food be good not great not wait visit,NN VB JJ RB JJ RB NN NN,"['food/NN', 'be/VB', 'good/JJ', 'not/RB', 'great/JJ', 'not/RB', 'wait/NN', 'visit/NN']"
The scallion pancakes and fried dumplings were nothing out of the ordinary.,1,scallion pancake fry dumpling be nothing ordinary,NN NN VB NN VB NN JJ,"['scallion/NN', 'pancake/NN', 'fry/VB', 'dumpling/NN', 'be/VB', 'nothing/NN', 'ordinary/JJ']"
"Inside is a little cramped, but to be expected.",1,inside be little cramped be expect,NN VB JJ JJ VB VB,"['inside/NN', 'be/VB', 'little/JJ', 'cramped/JJ', 'be/VB', 'expect/VB']"
Service is average.,1,service be average,NN VB JJ,"['service/NN', 'be/VB', 'average/JJ']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
The food is okay and the prices here are mediocre.,1,food be okay price here be mediocre,NN VB JJ NN RB VB JJ,"['food/NN', 'be/VB', 'okay/JJ', 'price/NN', 'here/RB', 'be/VB', 'mediocre/JJ']"
I'm sure I'll return for a final judgement tho.,1,sure ll return final judgement tho,JJ NN NN JJ NN NN,"['sure/JJ', 'll/NN', 'return/NN', 'final/JJ', 'judgement/NN', 'tho/NN']"
"Bagels are ok, but be sure not to make any special requests!",1,bagel be be sure not make special request,NN VB VB JJ RB VB JJ NN,"['bagel/NN', 'be/VB', 'be/VB', 'sure/JJ', 'not/RB', 'make/VB', 'special/JJ', 'request/NN']"
The service was friendly and the atmosphere was casual.,1,service be friendly atmosphere be casual,NN VB JJ NN VB JJ,"['service/NN', 'be/VB', 'friendly/JJ', 'atmosphere/NN', 'be/VB', 'casual/JJ']"
I had a huge pastrami sandwich on a roll.,1,have huge pastrami sandwich roll,VB JJ NN NN NN,"['have/VB', 'huge/JJ', 'pastrami/NN', 'sandwich/NN', 'roll/NN']"
Service is average.,1,service be average,NN VB JJ,"['service/NN', 'be/VB', 'average/JJ']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
"those rolls were big, but not good and sashimi wasn't fresh.",1,roll be big not good sashimi wasn fresh,NN VB JJ RB JJ NN VB JJ,"['roll/NN', 'be/VB', 'big/JJ', 'not/RB', 'good/JJ', 'sashimi/NN', 'wasn/VB', 'fresh/JJ']"
Amma is nothing special.,1,amma be nothing special,NN VB NN JJ,"['amma/NN', 'be/VB', 'nothing/NN', 'special/JJ']"
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",1,wasn thrill have wait line minute guess price pay popular place,VB VB VB VB NN NN NN NN VB JJ NN,"['wasn/VB', 'thrill/VB', 'have/VB', 'wait/VB', 'line/NN', 'minute/NN', 'guess/NN', 'price/NN', 'pay/VB', 'popular/JJ', 'place/NN']"
sometimes i get good food and ok service.,1,sometimes get good food service,RB VB JJ NN NN,"['sometimes/RB', 'get/VB', 'good/JJ', 'food/NN', 'service/NN']"
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
"those rolls were big, but not good and sashimi wasn't fresh.",1,roll be big not good sashimi wasn fresh,NN VB JJ RB JJ NN VB JJ,"['roll/NN', 'be/VB', 'big/JJ', 'not/RB', 'good/JJ', 'sashimi/NN', 'wasn/VB', 'fresh/JJ']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,1,be not really bad pound pastrami didn have much taste ve have better less elsewhere,VB RB RB JJ NN NN VB VB JJ NN NN VB RB JJ RB,"['be/VB', 'not/RB', 'really/RB', 'bad/JJ', 'pound/NN', 'pastrami/NN', 'didn/VB', 'have/VB', 'much/JJ', 'taste/NN', 've/NN', 'have/VB', 'better/RB', 'less/JJ', 'elsewhere/RB']"
Food was good not great not worth the wait or another visit,1,food be good not great not wait visit,NN VB JJ RB JJ RB NN NN,"['food/NN', 'be/VB', 'good/JJ', 'not/RB', 'great/JJ', 'not/RB', 'wait/NN', 'visit/NN']"
I had a huge pastrami sandwich on a roll.,1,have huge pastrami sandwich roll,VB JJ NN NN NN,"['have/VB', 'huge/JJ', 'pastrami/NN', 'sandwich/NN', 'roll/NN']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",1,however want great food great price don mind decor beat place,RB VB JJ NN JJ NN VB VB NN NN NN,"['however/RB', 'want/VB', 'great/JJ', 'food/NN', 'great/JJ', 'price/NN', 'don/VB', 'mind/VB', 'decor/NN', 'beat/NN', 'place/NN']"
The food is okay and the prices here are mediocre.,1,food be okay price here be mediocre,NN VB JJ NN RB VB JJ,"['food/NN', 'be/VB', 'okay/JJ', 'price/NN', 'here/RB', 'be/VB', 'mediocre/JJ']"
Food was good not great not worth the wait or another visit,1,food be good not great not wait visit,NN VB JJ RB JJ RB NN NN,"['food/NN', 'be/VB', 'good/JJ', 'not/RB', 'great/JJ', 'not/RB', 'wait/NN', 'visit/NN']"
"The service is ok, some of the people didn't get what they asked for.",1,service be person didn get ask,NN VB NN VB VB VB,"['service/NN', 'be/VB', 'person/NN', 'didn/VB', 'get/VB', 'ask/VB']"
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",1,wasn thrill have wait line minute guess price pay popular place,VB VB VB VB NN NN NN NN VB JJ NN,"['wasn/VB', 'thrill/VB', 'have/VB', 'wait/VB', 'line/NN', 'minute/NN', 'guess/NN', 'price/NN', 'pay/VB', 'popular/JJ', 'place/NN']"
Amma is nothing special.,1,amma be nothing special,NN VB NN JJ,"['amma/NN', 'be/VB', 'nothing/NN', 'special/JJ']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
"Inside is a little cramped, but to be expected.",1,inside be little cramped be expect,NN VB JJ JJ VB VB,"['inside/NN', 'be/VB', 'little/JJ', 'cramped/JJ', 'be/VB', 'expect/VB']"
"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",1,food be just average lower price just bit be bigger draw,NN VB RB JJ VB NN RB NN VB JJ VB,"['food/NN', 'be/VB', 'just/RB', 'average/JJ', 'lower/VB', 'price/NN', 'just/RB', 'bit/NN', 'be/VB', 'bigger/JJ', 'draw/VB']"
Amma is nothing special.,1,amma be nothing special,NN VB NN JJ,"['amma/NN', 'be/VB', 'nothing/NN', 'special/JJ']"
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,1,be not really bad pound pastrami didn have much taste ve have better less elsewhere,VB RB RB JJ NN NN VB VB JJ NN NN VB RB JJ RB,"['be/VB', 'not/RB', 'really/RB', 'bad/JJ', 'pound/NN', 'pastrami/NN', 'didn/VB', 'have/VB', 'much/JJ', 'taste/NN', 've/NN', 'have/VB', 'better/RB', 'less/JJ', 'elsewhere/RB']"
Service is average.,1,service be average,NN VB JJ,"['service/NN', 'be/VB', 'average/JJ']"
The scallion pancakes and fried dumplings were nothing out of the ordinary.,1,scallion pancake fry dumpling be nothing ordinary,NN NN VB NN VB NN JJ,"['scallion/NN', 'pancake/NN', 'fry/VB', 'dumpling/NN', 'be/VB', 'nothing/NN', 'ordinary/JJ']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
Amma is nothing special.,1,amma be nothing special,NN VB NN JJ,"['amma/NN', 'be/VB', 'nothing/NN', 'special/JJ']"
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
The food is reliable and the price is moderate.,1,food be reliable price be moderate,NN VB JJ NN VB JJ,"['food/NN', 'be/VB', 'reliable/JJ', 'price/NN', 'be/VB', 'moderate/JJ']"
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",1,wasn thrill have wait line minute guess price pay popular place,VB VB VB VB NN NN NN NN VB JJ NN,"['wasn/VB', 'thrill/VB', 'have/VB', 'wait/VB', 'line/NN', 'minute/NN', 'guess/NN', 'price/NN', 'pay/VB', 'popular/JJ', 'place/NN']"
"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",1,food be just average lower price just bit be bigger draw,NN VB RB JJ VB NN RB NN VB JJ VB,"['food/NN', 'be/VB', 'just/RB', 'average/JJ', 'lower/VB', 'price/NN', 'just/RB', 'bit/NN', 'be/VB', 'bigger/JJ', 'draw/VB']"
"Bagels are ok, but be sure not to make any special requests!",1,bagel be be sure not make special request,NN VB VB JJ RB VB JJ NN,"['bagel/NN', 'be/VB', 'be/VB', 'sure/JJ', 'not/RB', 'make/VB', 'special/JJ', 'request/NN']"
I had a huge pastrami sandwich on a roll.,1,have huge pastrami sandwich roll,VB JJ NN NN NN,"['have/VB', 'huge/JJ', 'pastrami/NN', 'sandwich/NN', 'roll/NN']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",1,friend settle rice dish come back following day try dim sum be good not outstanding good,NN VB NN NN VB RB JJ NN VB JJ NN VB JJ RB JJ JJ,"['friend/NN', 'settle/VB', 'rice/NN', 'dish/NN', 'come/VB', 'back/RB', 'following/JJ', 'day/NN', 'try/VB', 'dim/JJ', 'sum/NN', 'be/VB', 'good/JJ', 'not/RB', 'outstanding/JJ', 'good/JJ']"
The food is reliable and the price is moderate.,1,food be reliable price be moderate,NN VB JJ NN VB JJ,"['food/NN', 'be/VB', 'reliable/JJ', 'price/NN', 'be/VB', 'moderate/JJ']"
A little noise but I think that was because of our party!,1,little noise think be party,JJ NN VB VB NN,"['little/JJ', 'noise/NN', 'think/VB', 'be/VB', 'party/NN']"
Service is average.,1,service be average,NN VB JJ,"['service/NN', 'be/VB', 'average/JJ']"
Prices are in line.,1,price be line,NN VB NN,"['price/NN', 'be/VB', 'line/NN']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
Service is average.,1,service be average,NN VB JJ,"['service/NN', 'be/VB', 'average/JJ']"
My son and his girlfriend both wanted cheeseburgers and they were huge!,1,son girlfriend want cheeseburger be huge,NN NN VB NN VB JJ,"['son/NN', 'girlfriend/NN', 'want/VB', 'cheeseburger/NN', 'be/VB', 'huge/JJ']"
I'm sure I'll return for a final judgement tho.,1,sure ll return final judgement tho,JJ NN NN JJ NN NN,"['sure/JJ', 'll/NN', 'return/NN', 'final/JJ', 'judgement/NN', 'tho/NN']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
The pizza was pretty good and huge.,2,pizza be pretty good huge,NN VB RB JJ JJ,"['pizza/NN', 'be/VB', 'pretty/RB', 'good/JJ', 'huge/JJ']"
Check this place out!,2,check place out,NN NN RB,"['check/NN', 'place/NN', 'out/RB']"
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",2,pizza be delicious use fresh mozzarella instead cheap frozen shredded cheese common most pizzarium,NN VB JJ VB JJ NN RB RB JJ JJ NN JJ RB NN,"['pizza/NN', 'be/VB', 'delicious/JJ', 'use/VB', 'fresh/JJ', 'mozzarella/NN', 'instead/RB', 'cheap/RB', 'frozen/JJ', 'shredded/JJ', 'cheese/NN', 'common/JJ', 'most/RB', 'pizzarium/NN']"
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,2,have be do above heartland brewery year now have never be disappoint,VB VB VB JJ NN NN NN RB VB RB VB VB,"['have/VB', 'be/VB', 'do/VB', 'above/JJ', 'heartland/NN', 'brewery/NN', 'year/NN', 'now/RB', 'have/VB', 'never/RB', 'be/VB', 'disappoint/VB']"
I lOVE THIS PLACE!,2,love place,NN NN,"['love/NN', 'place/NN']"
"The food is wonderful, tasty and filling, and the service is professional and friendly.",2,food be wonderful tasty fill service be professional friendly,NN VB JJ JJ VB NN VB JJ JJ,"['food/NN', 'be/VB', 'wonderful/JJ', 'tasty/JJ', 'fill/VB', 'service/NN', 'be/VB', 'professional/JJ', 'friendly/JJ']"
Go here.,2,go here,VB RB,"['go/VB', 'here/RB']"
Go here.,2,go here,VB RB,"['go/VB', 'here/RB']"
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",2,sake list be extensive be look purple haze wasn list make request,NN NN VB JJ VB VB JJ NN VB VB VB NN,"['sake/NN', 'list/NN', 'be/VB', 'extensive/JJ', 'be/VB', 'look/VB', 'purple/JJ', 'haze/NN', 'wasn/VB', 'list/VB', 'make/VB', 'request/NN']"
Wine list selection is good and wine-by-the-glass was generously filled to the top.,2,wine list selection be good wine glass be generously fill top,NN NN NN VB JJ NN NN VB RB VB NN,"['wine/NN', 'list/NN', 'selection/NN', 'be/VB', 'good/JJ', 'wine/NN', 'glass/NN', 'be/VB', 'generously/RB', 'fill/VB', 'top/NN']"
What more could you want?,2,more want,RB VB,"['more/RB', 'want/VB']"
The place itself is beautiful the bar scene seems to be happening.,2,place be beautiful bar scene seem be happen,NN VB JJ NN NN VB VB VB,"['place/NN', 'be/VB', 'beautiful/JJ', 'bar/NN', 'scene/NN', 'seem/VB', 'be/VB', 'happen/VB']"
Don't miss Bloom's on your next trip to Manhatten.,2,don miss bloom next trip manhatten,VB JJ NN JJ NN VB,"['don/VB', 'miss/JJ', 'bloom/NN', 'next/JJ', 'trip/NN', 'manhatten/VB']"
The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,2,brioche lolly party favor be cute sweet touch most memorable meal,NN NN NN NN VB JJ JJ NN RB JJ NN,"['brioche/NN', 'lolly/NN', 'party/NN', 'favor/NN', 'be/VB', 'cute/JJ', 'sweet/JJ', 'touch/NN', 'most/RB', 'memorable/JJ', 'meal/NN']"
Downstairs lounge is always a good attraction,2,downstairs lounge be always good attraction,NN NN VB RB JJ NN,"['downstairs/NN', 'lounge/NN', 'be/VB', 'always/RB', 'good/JJ', 'attraction/NN']"
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",2,pizza be delicious use fresh mozzarella instead cheap frozen shredded cheese common most pizzarium,NN VB JJ VB JJ NN RB RB JJ JJ NN JJ RB NN,"['pizza/NN', 'be/VB', 'delicious/JJ', 'use/VB', 'fresh/JJ', 'mozzarella/NN', 'instead/RB', 'cheap/RB', 'frozen/JJ', 'shredded/JJ', 'cheese/NN', 'common/JJ', 'most/RB', 'pizzarium/NN']"
It is also extremely well priced.,2,be also extremely well price,VB RB RB RB VB,"['be/VB', 'also/RB', 'extremely/RB', 'well/RB', 'price/VB']"
Awsome Pizza especially the Margheritta slice.,2,pizza especially margheritta slice,NN RB JJ NN,"['pizza/NN', 'especially/RB', 'margheritta/JJ', 'slice/NN']"
"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",2,best part ls be late night atmosphere delightfully free bt,JJ NN NN VB JJ NN NN RB JJ NN,"['best/JJ', 'part/NN', 'ls/NN', 'be/VB', 'late/JJ', 'night/NN', 'atmosphere/NN', 'delightfully/RB', 'free/JJ', 'bt/NN']"
The owner truly caters to all your needs.,2,owner truly cater need,NN RB VB NN,"['owner/NN', 'truly/RB', 'cater/VB', 'need/NN']"
(Besides that there should be more restaurants like it around the city).,2,be more restaurant city,VB JJ NN NN,"['be/VB', 'more/JJ', 'restaurant/NN', 'city/NN']"
I have NEVER been disappointed in the Red Eye.,2,have never be disappoint red eye,VB RB VB VB JJ NN,"['have/VB', 'never/RB', 'be/VB', 'disappoint/VB', 'red/JJ', 'eye/NN']"
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",2,food be average above french onion soup fill yet not overly impressive dessert not brilliant way,NN VB JJ VB JJ NN NN VB RB RB RB JJ NN RB JJ NN,"['food/NN', 'be/VB', 'average/JJ', 'above/VB', 'french/JJ', 'onion/NN', 'soup/NN', 'fill/VB', 'yet/RB', 'not/RB', 'overly/RB', 'impressive/JJ', 'dessert/NN', 'not/RB', 'brilliant/JJ', 'way/NN']"
"The atmosphere is unheralded, the service impecible, and the food magnificant.",2,atmosphere be unheralded service impecible food magnificant,NN VB JJ NN JJ NN NN,"['atmosphere/NN', 'be/VB', 'unheralded/JJ', 'service/NN', 'impecible/JJ', 'food/NN', 'magnificant/NN']"
The food was well prepared and the service impecable.,2,food be well prepared service impecable,NN VB RB JJ NN JJ,"['food/NN', 'be/VB', 'well/RB', 'prepared/JJ', 'service/NN', 'impecable/JJ']"
"The Steak Tartare is a great bet, they fix it for you at the table.",2,steak tartare be great bet fix table,NN NN VB JJ NN VB NN,"['steak/NN', 'tartare/NN', 'be/VB', 'great/JJ', 'bet/NN', 'fix/VB', 'table/NN']"
The staff offers impeccable service.,2,staff offer impeccable service,NN VB JJ NN,"['staff/NN', 'offer/VB', 'impeccable/JJ', 'service/NN']"
Mizu is home to creative and unique rolls not to found anywhere else.,2,mizu be home creative unique roll not find anywhere else,NN VB NN JJ JJ NN RB VB RB RB,"['mizu/NN', 'be/VB', 'home/NN', 'creative/JJ', 'unique/JJ', 'roll/NN', 'not/RB', 'find/VB', 'anywhere/RB', 'else/RB']"
Your friends will thank you for introducing them to this gem!,2,friend thank introduce gem,NN VB VB NN,"['friend/NN', 'thank/VB', 'introduce/VB', 'gem/NN']"
We will go back every time we are in the City.,2,go back time be city,VB RB NN VB NN,"['go/VB', 'back/RB', 'time/NN', 'be/VB', 'city/NN']"
The food is reliable and the price is moderate.,2,food be reliable price be moderate,NN VB JJ NN VB JJ,"['food/NN', 'be/VB', 'reliable/JJ', 'price/NN', 'be/VB', 'moderate/JJ']"
The sushi seemed pretty fresh and was adequately proportioned.,2,sushi seem pretty fresh be adequately proportioned,NN VB RB JJ VB RB JJ,"['sushi/NN', 'seem/VB', 'pretty/RB', 'fresh/JJ', 'be/VB', 'adequately/RB', 'proportioned/JJ']"
It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,2,be nicest outdoor restaurant have ever see ny be italy place rival one country,VB JJ JJ NN VB RB VB NN VB NN NN NN NN NN,"['be/VB', 'nicest/JJ', 'outdoor/JJ', 'restaurant/NN', 'have/VB', 'ever/RB', 'see/VB', 'ny/NN', 'be/VB', 'italy/NN', 'place/NN', 'rival/NN', 'one/NN', 'country/NN']"
Ingredients are organic which is a real plus for me.,2,ingredient be organic be real plus,NN VB JJ VB JJ NN,"['ingredient/NN', 'be/VB', 'organic/JJ', 'be/VB', 'real/JJ', 'plus/NN']"
This is by far my favorite place in the neighborhood.,2,be far favorite place neighborhood,VB RB JJ NN NN,"['be/VB', 'far/RB', 'favorite/JJ', 'place/NN', 'neighborhood/NN']"
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,2,atmosphere be noisy waiter be literally walk do thing fast,NN VB JJ NN VB RB VB VB NN RB,"['atmosphere/NN', 'be/VB', 'noisy/JJ', 'waiter/NN', 'be/VB', 'literally/RB', 'walk/VB', 'do/VB', 'thing/NN', 'fast/RB']"
Staff is very accomodating.,2,staff be very accomodating,NN VB RB JJ,"['staff/NN', 'be/VB', 'very/RB', 'accomodating/JJ']"
The pizza is delicious and the proprietor is one of the nicest in NYC.,2,pizza be delicious proprietor be nicest nyc,NN VB JJ NN VB JJ NN,"['pizza/NN', 'be/VB', 'delicious/JJ', 'proprietor/NN', 'be/VB', 'nicest/JJ', 'nyc/NN']"
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,2,be lot fun live entertainment kind disney type special effect,VB NN NN JJ NN NN NN NN JJ NN,"['be/VB', 'lot/NN', 'fun/NN', 'live/JJ', 'entertainment/NN', 'kind/NN', 'disney/NN', 'type/NN', 'special/JJ', 'effect/NN']"
"I found the food to be outstanding, particulary the salmon dish I had.",2,find food be outstanding particulary salmon dish have,VB NN VB JJ NN NN VB VB,"['find/VB', 'food/NN', 'be/VB', 'outstanding/JJ', 'particulary/NN', 'salmon/NN', 'dish/VB', 'have/VB']"
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",2,admittedly night restaurant be rather warm open kitchen be part charm,RB NN NN VB RB JJ JJ NN VB NN NN,"['admittedly/RB', 'night/NN', 'restaurant/NN', 'be/VB', 'rather/RB', 'warm/JJ', 'open/JJ', 'kitchen/NN', 'be/VB', 'part/NN', 'charm/NN']"
Rao's has the best service and atmosphere in NYC.,2,rao have best service atmosphere nyc,VB VB JJ NN NN NN,"['rao/VB', 'have/VB', 'best/JJ', 'service/NN', 'atmosphere/NN', 'nyc/NN']"
The food was absolutely amazing!!,2,food be absolutely amazing,NN VB RB JJ,"['food/NN', 'be/VB', 'absolutely/RB', 'amazing/JJ']"
If you want something really different than try Jekyll and Hyde.,2,want something really different try jekyll hyde,VB NN RB JJ NN NN NN,"['want/VB', 'something/NN', 'really/RB', 'different/JJ', 'try/NN', 'jekyll/NN', 'hyde/NN']"
The wine list is interesting and has many good values.,2,wine list be interesting have many good value,NN NN VB JJ VB JJ JJ NN,"['wine/NN', 'list/NN', 'be/VB', 'interesting/JJ', 'have/VB', 'many/JJ', 'good/JJ', 'value/NN']"
